nombre,clase,parte_planta,nombres_en_repo,SMILES_canonico,InChIKey,formula,MW_calculado,MW_repo,carga_formal,estado_ionico,archivo_sdf
Quercetín-3-malonilglucósido,Flavonol,fruto,Quercetín-3-malonilglucósido,O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O,NBQPHANHNTWDML-UJKBSQBPSA-N,C24H22O15,550.43,550.5,0,neutro,sdf/NBQPHANHNTWDML-UJKBSQBPSA-N.sdf
Isorhamnetín-3-rutinosido,Flavonol,fruto,Isorhamnetín-3-rutinosido,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,UIDGLYUNOUKLBM-WDJQYGQPSA-N,C28H32O16,624.55,624.5,0,neutro,sdf/UIDGLYUNOUKLBM-WDJQYGQPSA-N.sdf
Isorhamnetín-3-galactosido,Flavonol,fruto,Isorhamnetín-3-galactosido,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)ccc1O,CQLRUIIRRZYHHS-UVHBULKNSA-N,C22H22O12,478.41,478.4,0,neutro,sdf/CQLRUIIRRZYHHS-UVHBULKNSA-N.sdf
Quercetín-3-rhamnosido,Flavonol,fruto,Quercetín-3-rhamnosido,C[C@@H]1O[C@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@H]1O,OXGUCUVFOIWWQJ-VHQAYEMVSA-N,C21H20O11,448.38,448.4,0,neutro,sdf/OXGUCUVFOIWWQJ-VHQAYEMVSA-N.sdf
Kaempferol-3-glucósido,Flavonol,hojas,Kaempferol-3-glucósido,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,JPUKWEQWGBDDQB-QSOFNFLRSA-N,C21H20O11,448.38,448.4,0,neutro,sdf/JPUKWEQWGBDDQB-QSOFNFLRSA-N.sdf
Quercetina,Flavonol,hojas,Quercetina,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,C15H10O7,302.24,302.2,0,neutro,sdf/REFJWTPEDVJJIY-UHFFFAOYSA-N.sdf
Isorhamnetina,Flavonol,hojas,Isorhamnetina,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,C16H12O7,316.27,316.3,0,neutro,sdf/IZQSVPBOUDKVDZ-UHFFFAOYSA-N.sdf
Luteolina,Flavona,hojas,Luteolina,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IQPNAANSBPBGFQ-UHFFFAOYSA-N,C15H10O6,286.24,286.2,0,neutro,sdf/IQPNAANSBPBGFQ-UHFFFAOYSA-N.sdf
Vitexina,Flavona,hojas,Vitexina,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,SGEWCQFRYRRZDC-VPRICQMDSA-N,C21H20O10,432.38,432.4,0,neutro,sdf/SGEWCQFRYRRZDC-VPRICQMDSA-N.sdf
Catequina,Flavan-3-ol,hojas|tallo,Catequina,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,PFTAWBLQPZVEMU-DZGCQCFKSA-N,C15H14O6,290.27,290.3,0,neutro,sdf/PFTAWBLQPZVEMU-DZGCQCFKSA-N.sdf
